source_country,destination_country,corridor_volume_musd,fx_spread_bps,transfer_fee_percent,settlement_time_days,has_tax_treaty,tax_rate_percent,withholding_tax_amount_musd,compliance_regulatory_score,sovereign_geopolitical_score,volatility_index,market_infrastructure_score,tax_treaty_quality,currency_convertibility,capital_controls,payment_system_efficiency,network_depth,corridor_stability_score
India,Ethiopia,648.21,59.87,10.87,16.19,0,15.4,99.8243,56.43,49.13,47.86,34.03,66.54,0.029,0.628,0.171,0.663,42.54
United Kingdom,Italy,69066.55,185.97,4.8,27.67,1,15.96,11023.0214,51.45,37.29,51.94,56.4,27.35,0.54,0.867,0.746,0.918,67.36
Thailand,Belgium,113.59,91.43,9.49,27.88,1,6.09,6.9176,82.75,30.37,35.41,51.08,33.31,0.483,0.561,0.407,0.666,48.09
Malaysia,Indonesia,230.34,105.93,5.22,5.79,0,26.28,60.5334,65.93,38.71,59.67,52.6,44.51,0.221,0.636,0.448,0.912,49.06
Russia,United Kingdom,22035.11,291.43,4.11,10.13,1,17.14,3776.8179,55.06,43.47,60.83,61.97,56.59,0.954,0.36,0.645,0.233,65.05
Spain,Thailand,1824.13,92.62,11.59,15.45,1,9.86,179.8592,59.95,49.42,46.08,38.09,56.88,0.029,0.659,0.313,0.84,47.09
China,Vietnam,8.36,149.02,0.48,16.65,1,6.38,0.5334,65.52,55.95,55.87,55.05,25.59,0.544,0.248,0.775,0.076,37.31
Australia,Indonesia,53736.13,65.98,3.51,24.24,1,4.42,2375.1369,47.54,47.38,53.23,43.13,53.84,0.581,0.898,0.371,0.368,59.31
Turkey,Thailand,0.87,214.47,1.18,3.44,1,16.2,0.1409,27.54,49.44,41.28,49.02,78.8,0.453,0.669,0.394,0.313,31.53
Brazil,France,12.46,272.76,6.0,21.32,1,23.22,2.8932,39.48,58.72,50.95,51.1,47.53,0.057,0.823,0.786,0.738,36.22
India,Brazil,1200.18,299.61,5.35,8.69,0,7.26,87.1331,53.12,50.87,22.8,64.17,35.77,0.925,0.478,0.904,0.325,56.02
France,Australia,2.68,94.27,11.57,29.32,1,13.65,0.3658,48.28,50.37,27.69,49.96,61.11,0.128,0.768,0.708,0.503,33.68
Netherlands,Switzerland,838.27,53.01,6.4,18.07,0,21.94,183.9164,35.52,56.18,18.81,56.42,34.42,0.964,0.727,0.431,0.863,50.82
Switzerland,Germany,239323.6,30.1,10.33,6.53,0,27.2,65096.0192,49.24,34.46,65.79,55.39,46.45,0.799,0.592,0.475,0.391,71.12
Colombia,Malaysia,18109.41,50.28,8.55,19.59,0,25.64,4643.2527,50.78,63.69,70.23,84.49,39.41,0.769,0.315,0.954,0.76,69.44
Nigeria,United Arab Emirates,93.69,261.55,0.47,10.36,1,15.94,14.9342,67.62,60.44,38.73,50.11,26.02,0.318,0.819,0.656,0.559,41.13
Switzerland,Nigeria,81406.71,240.73,4.99,26.69,1,23.12,18821.2314,47.82,47.35,39.96,54.67,46.72,0.889,0.913,0.743,0.356,65.14
Australia,Vietnam,29652.48,289.34,11.05,15.58,0,10.88,3226.1898,47.88,60.4,50.69,53.22,65.71,0.695,0.411,0.273,0.431,59.02
Canada,Philippines,4.13,231.18,1.74,12.01,0,13.63,0.5629,40.32,34.33,36.91,56.5,29.51,0.439,0.544,0.073,0.539,40.47
United States,South Africa,138724.92,27.46,6.29,4.99,0,13.54,18783.3542,68.51,60.93,81.2,36.9,57.96,0.971,0.992,0.29,0.799,56.86
Saudi Arabia,Spain,85742.7,109.48,5.04,12.72,0,5.17,4432.8976,43.03,78.89,56.67,63.48,43.18,0.687,0.69,0.803,0.391,62.5
United Arab Emirates,Italy,73134.9,191.14,0.45,23.7,0,24.52,17932.6775,51.18,45.21,75.15,64.02,24.63,0.947,0.241,0.746,0.474,68.99
Vietnam,Brazil,47129.89,278.75,4.1,19.82,1,4.54,2139.697,62.82,43.38,46.57,32.45,74.17,0.843,0.698,0.008,0.012,55.46
Germany,Argentina,2.71,95.28,7.04,23.49,1,7.66,0.2076,76.06,67.79,45.21,63.56,52.14,0.852,0.053,0.683,0.623,35.66
Philippines,Germany,14577.02,75.63,10.31,26.22,1,5.22,760.9204,65.05,66.28,60.22,63.75,56.29,0.542,0.64,0.859,0.658,60.0
Nigeria,United Arab Emirates,267995.7,127.29,4.04,8.22,1,8.83,23664.0203,61.9,66.47,41.13,62.23,65.3,0.79,0.278,0.116,0.417,67.79
Russia,Thailand,9726.31,29.11,1.42,17.48,0,19.41,1887.8768,51.94,62.28,53.17,61.31,41.55,0.336,0.71,0.56,0.839,58.65
United Arab Emirates,Kenya,836.03,266.77,7.66,10.22,0,7.37,61.6154,55.22,47.78,45.73,47.19,63.29,0.406,0.728,0.549,0.215,48.8
Colombia,Germany,73.97,123.74,9.94,15.89,0,5.03,3.7207,53.25,60.21,64.26,64.94,47.76,0.528,0.512,0.808,0.58,46.43
United Kingdom,Portugal,4.39,153.86,7.21,20.17,1,9.52,0.4179,56.01,68.77,29.33,44.14,52.48,0.133,0.471,0.502,0.447,28.78
Malaysia,India,103212.38,242.91,2.49,10.02,0,6.53,6739.7684,46.85,55.68,67.32,53.46,78.19,0.371,0.443,0.993,0.753,63.67
United Kingdom,Thailand,3.89,30.53,6.28,4.4,0,14.99,0.5831,38.3,50.43,58.63,35.63,22.58,0.21,0.723,0.434,0.217,28.76
Malaysia,Philippines,1.3,284.21,6.33,13.96,0,9.42,0.1225,40.56,52.73,48.64,36.41,52.78,0.312,0.655,0.267,0.191,26.43
Australia,Poland,162428.55,156.82,6.49,11.01,0,21.14,34337.3955,55.88,62.52,61.92,56.97,38.11,0.478,0.421,0.386,0.37,65.02
Japan,Canada,37.46,201.38,6.56,6.67,0,5.75,2.154,45.27,64.55,55.35,52.93,67.61,0.526,0.556,0.91,0.469,38.83
Nigeria,France,7140.03,11.74,2.15,17.82,1,15.88,1133.8368,43.87,36.08,62.46,30.61,54.2,0.405,0.671,0.418,0.094,50.72
Poland,Mexico,5.32,170.06,4.43,18.47,0,13.37,0.7113,56.44,51.14,40.14,36.5,43.46,0.415,0.597,0.556,0.348,29.71
Indonesia,Mexico,28240.12,197.61,2.54,14.1,1,5.64,1592.7428,54.75,69.55,64.78,47.01,41.21,0.391,0.795,0.205,0.918,54.57
Germany,Mexico,4706.76,6.5,1.33,3.72,0,17.98,846.2754,51.68,60.7,66.07,50.83,26.3,0.571,0.691,0.279,0.484,52.68
United States,South Africa,294.81,275.94,3.65,28.13,1,12.91,38.06,35.66,42.07,75.41,73.5,57.13,0.969,0.54,0.945,0.326,57.46
Spain,Thailand,114.08,275.93,1.24,5.74,1,10.12,11.5449,71.67,30.75,61.04,47.83,56.45,0.503,0.395,0.571,0.592,46.72
China,Russia,325366.09,92.96,10.52,10.75,1,6.64,21604.3084,58.55,49.53,21.44,42.48,59.47,0.622,0.382,0.402,0.441,63.84
Australia,France,95.99,59.95,1.57,10.14,0,25.4,24.3815,42.08,73.31,52.97,51.94,41.05,0.303,0.314,0.416,0.715,39.36
Egypt,Portugal,15.72,226.02,9.24,0.78,1,10.32,1.6223,63.79,72.18,45.99,62.36,77.63,0.559,0.385,0.771,0.116,38.66
Indonesia,United Kingdom,137914.62,104.13,6.99,20.16,0,19.41,26769.2277,41.41,27.24,57.24,58.03,74.41,0.163,0.836,0.936,0.366,72.03
Canada,Mexico,0.39,289.04,2.8,24.38,0,11.99,0.0468,50.7,55.48,63.73,33.19,41.83,0.073,0.929,0.449,0.541,23.13
Brazil,Vietnam,33339.0,223.49,8.71,19.49,0,19.8,6601.122,76.08,32.44,63.78,69.1,45.59,0.667,0.132,0.844,0.926,71.31
Malaysia,Portugal,24149.23,176.34,11.0,1.79,0,24.77,5981.7643,57.62,58.65,30.98,22.51,60.57,0.108,0.763,0.163,0.065,46.49
Mexico,India,428.61,124.46,3.43,3.1,0,23.68,101.4948,85.71,44.8,61.37,57.25,49.7,0.564,0.264,0.68,0.85,51.49
Portugal,United Kingdom,79.03,43.85,11.35,7.87,1,14.87,11.7518,77.09,55.33,24.53,53.69,57.72,0.016,0.62,0.179,0.848,43.1
Netherlands,Colombia,69.77,120.21,1.21,18.02,1,6.65,4.6397,82.02,62.89,45.77,37.02,24.24,0.014,0.966,0.388,0.121,34.56
Poland,Philippines,111.61,231.56,3.84,15.66,1,8.92,9.9556,83.91,44.41,74.92,56.37,46.86,0.295,0.158,0.087,0.938,47.34
South Africa,Spain,1.15,249.2,4.81,1.02,1,11.29,0.1298,72.94,50.34,32.39,43.31,77.81,0.228,0.199,0.414,0.329,29.47
Netherlands,Japan,4.96,42.43,8.67,3.71,0,28.03,1.3903,81.53,58.4,53.16,57.58,74.59,0.538,0.79,0.681,0.635,36.52
Poland,Japan,6671.49,94.6,9.12,2.9,0,18.27,1218.8812,42.03,47.46,20.8,50.34,64.0,0.383,0.862,0.617,0.806,56.14
Indonesia,Portugal,206.21,291.86,9.36,26.13,0,24.18,49.8616,50.69,52.23,33.65,65.95,55.22,0.203,0.117,0.554,0.331,51.38
Indonesia,Egypt,755.32,160.54,6.23,14.15,0,16.03,121.0778,46.94,36.62,42.42,61.28,51.32,0.665,0.056,0.717,0.39,56.38
Indonesia,Singapore,59.28,33.11,7.93,14.42,1,18.39,10.9016,52.94,54.36,55.05,55.6,66.65,0.382,0.306,0.595,0.612,43.24
Indonesia,Egypt,3.89,76.7,3.46,17.42,1,14.54,0.5656,30.07,33.88,51.5,56.41,24.18,0.701,0.814,0.092,0.933,40.38
Singapore,Australia,36.69,179.28,6.09,7.65,1,21.81,8.0021,48.83,49.92,35.26,48.77,61.44,0.041,0.88,0.732,0.878,40.03
Philippines,Ireland,175.09,140.65,8.73,14.89,0,10.53,18.437,76.8,52.99,48.2,35.74,57.72,0.155,0.865,0.829,0.213,38.67
Poland,China,231.92,238.09,9.2,4.01,1,6.7,15.5386,68.88,65.06,34.56,57.91,65.77,0.66,0.397,0.202,0.653,45.93
Belgium,Saudi Arabia,1116.73,299.9,1.28,29.0,1,12.73,142.1597,33.01,60.96,47.95,53.43,82.84,0.71,0.938,0.689,0.727,49.5
Ireland,Indonesia,1020.97,81.11,1.06,7.4,0,10.21,104.241,62.08,50.37,34.19,48.42,65.14,0.788,0.425,0.596,0.585,49.36
Ireland,United States,524241.92,197.45,9.63,5.37,1,5.63,29514.8201,52.97,42.96,19.89,46.79,81.55,0.967,0.308,0.156,0.075,68.25
France,India,111698.5,159.75,4.85,24.01,1,16.89,18865.8766,49.48,68.6,47.97,58.04,49.74,0.661,0.027,0.387,0.182,63.15
Australia,United Kingdom,40433.79,229.69,5.61,12.97,0,6.43,2599.8927,53.85,79.03,57.26,42.28,48.12,0.915,0.444,0.116,0.336,51.82
Colombia,Ethiopia,2.75,243.47,8.82,25.5,0,19.66,0.5406,53.98,54.8,53.14,62.55,57.65,0.2,0.347,0.831,0.293,37.89
South Africa,Vietnam,8.25,265.69,0.8,11.48,0,25.99,2.1442,79.24,48.4,50.17,39.78,40.28,0.259,0.583,0.628,0.738,32.67
Russia,Italy,3423.11,216.49,1.73,0.71,1,15.29,523.3935,49.93,55.07,33.11,45.91,32.36,0.441,0.815,0.525,0.375,50.91
Poland,Indonesia,298119.24,176.2,2.4,18.21,0,14.49,43197.4779,75.93,45.75,45.72,46.17,56.57,0.722,0.386,0.103,0.802,65.81
Belgium,Egypt,121743.3,138.33,7.06,6.18,1,9.01,10969.0713,66.93,73.33,84.25,34.84,77.12,0.197,0.784,0.054,0.955,53.17
Germany,United Arab Emirates,138000.43,11.24,7.61,13.09,1,4.65,6417.02,57.8,67.09,20.24,51.83,62.1,0.835,0.427,0.371,0.706,61.58
Spain,United States,417695.32,273.83,8.09,23.06,0,9.64,40265.8288,71.63,53.8,73.85,59.78,38.52,0.941,0.6,0.57,0.127,70.62
Belgium,Switzerland,524413.95,35.22,8.89,6.21,0,28.38,148828.679,54.21,59.12,63.22,59.58,44.41,0.886,0.819,0.761,0.681,70.14
Saudi Arabia,Portugal,606591.92,242.63,2.89,15.53,1,12.18,73882.8959,76.48,24.0,6.18,55.82,34.51,0.452,0.869,0.256,0.739,76.08
Belgium,Italy,16702.77,153.26,3.35,7.83,1,10.42,1740.4286,86.7,56.97,33.9,52.61,81.26,0.713,0.342,0.159,0.833,57.8
Philippines,Thailand,2.35,11.29,7.28,26.75,0,29.11,0.6841,79.0,50.97,33.82,38.35,42.86,0.463,0.924,0.215,0.558,28.65
Netherlands,Singapore,2.53,200.97,6.47,20.99,1,4.37,0.1106,72.52,62.66,48.57,57.08,64.98,0.218,0.516,0.587,0.525,33.95
Spain,Italy,4.54,249.81,4.62,2.54,0,26.49,1.2026,35.23,69.81,50.58,44.27,35.23,0.467,0.419,0.338,0.041,28.7
Mexico,Spain,82179.28,82.23,6.12,11.63,1,22.61,18580.7352,53.01,39.67,50.8,39.07,49.38,0.041,0.917,0.347,0.352,60.46
Nigeria,Indonesia,106316.08,154.95,1.12,1.86,0,16.17,17191.3101,65.31,57.13,45.17,57.88,24.64,0.217,0.447,0.596,0.616,65.24
Netherlands,Spain,177398.99,181.95,3.55,24.96,1,8.96,15894.9495,71.46,52.38,31.13,52.13,24.63,0.344,0.03,0.791,0.376,65.37
Japan,Ethiopia,1.08,147.39,4.45,24.16,1,16.94,0.183,39.96,60.74,27.56,42.26,81.33,0.356,0.963,0.123,0.992,26.88
Nigeria,Indonesia,36334.9,278.7,5.91,29.12,1,5.05,1834.9125,75.75,46.45,36.31,43.15,34.42,0.089,0.911,0.718,0.457,58.37
Thailand,United Kingdom,28122.55,186.74,11.59,26.11,1,19.0,5343.2845,69.62,51.52,34.57,28.92,49.37,0.108,0.841,0.708,0.686,50.92
Mexico,Turkey,315.08,17.56,10.93,19.97,0,20.91,65.8832,83.7,45.6,38.99,67.99,51.28,0.773,0.432,0.739,0.544,54.74
Brazil,Netherlands,2.02,230.95,5.33,14.42,0,15.33,0.3097,33.04,71.64,38.8,56.29,52.25,0.651,0.518,0.273,0.566,31.39
France,Switzerland,335620.25,80.89,9.82,6.52,1,22.1,74172.0752,42.35,31.72,74.52,58.49,44.35,0.939,0.805,0.996,0.519,73.89
Poland,Brazil,75591.91,175.08,9.53,7.29,0,19.0,14362.4629,48.02,53.59,38.89,46.75,39.46,0.492,0.301,0.051,0.265,60.51
Italy,Argentina,4346.57,197.26,8.06,23.72,1,9.66,419.8787,43.49,58.58,47.58,55.36,48.58,0.941,0.264,0.411,0.255,54.68
Russia,Brazil,0.2,91.09,1.24,20.55,1,12.79,0.0256,25.57,52.58,41.72,41.54,27.11,0.374,0.101,0.088,0.263,26.63
Brazil,Portugal,119184.87,145.36,5.2,21.31,0,17.25,20559.3901,72.61,40.33,67.78,47.71,55.93,0.737,0.491,0.35,0.9,64.86
Netherlands,Vietnam,34.12,181.59,4.14,3.98,0,13.78,4.7017,34.88,53.8,44.96,45.8,59.57,0.732,0.742,0.751,0.897,37.86
Ireland,Colombia,10.29,242.06,2.57,13.8,1,5.49,0.5649,43.72,40.62,28.69,50.85,55.47,0.222,0.402,0.763,0.251,39.23
Vietnam,Colombia,381272.81,268.8,8.16,12.16,1,5.38,20512.4772,35.33,91.73,35.7,50.19,54.69,0.319,0.957,0.849,0.454,58.94
Brazil,Turkey,35.88,239.74,6.98,6.89,0,26.63,9.5548,44.12,52.24,54.6,41.63,42.77,0.861,0.706,0.412,0.528,36.65
Spain,Australia,1034.57,47.09,0.61,2.06,0,12.62,130.5627,51.46,41.15,46.2,42.96,44.64,0.316,0.709,0.003,0.82,49.06
Russia,Egypt,143.17,137.45,7.75,4.4,1,29.02,41.5479,44.5,61.22,80.26,48.13,27.77,0.628,0.565,0.381,0.108,41.4
United Kingdom,Malaysia,1698.81,150.61,8.93,29.04,0,22.54,382.9118,81.63,70.62,43.4,36.25,37.33,0.212,0.889,0.258,0.3,41.91
Netherlands,Malaysia,62552.21,293.84,4.14,6.08,1,16.52,10333.6251,91.24,25.99,53.55,70.62,63.84,0.721,0.45,0.978,0.83,75.02
Germany,Australia,846.82,156.2,10.41,22.19,0,27.15,229.9116,46.82,55.57,47.14,56.15,65.96,0.995,0.5,0.802,0.667,50.87
Ethiopia,United Arab Emirates,0.39,202.95,5.68,20.93,0,7.51,0.0293,59.38,52.5,33.76,55.07,89.84,0.39,0.798,0.354,0.816,32.48
Indonesia,Philippines,4.8,278.6,10.04,28.01,1,13.96,0.6701,62.32,53.71,50.94,48.81,63.54,0.363,0.121,0.449,0.98,33.87
Indonesia,Spain,3821.53,95.53,6.54,11.19,1,5.9,225.4703,17.83,59.12,35.43,34.75,66.43,0.089,0.42,0.213,0.076,45.96
Nigeria,United Kingdom,17.64,121.03,1.76,23.94,1,8.88,1.5664,61.32,44.52,25.7,43.76,43.6,0.158,0.591,0.231,0.974,37.07
Egypt,France,121.19,140.73,5.29,27.17,0,19.19,23.2564,65.26,63.74,52.81,39.86,54.75,0.845,0.079,0.302,0.319,37.11
Germany,Spain,291.53,14.34,7.13,27.0,1,18.83,54.8951,53.1,56.71,43.69,61.13,43.96,0.1,0.536,0.537,0.325,49.55
Egypt,Saudi Arabia,7.28,36.32,9.47,2.02,1,15.88,1.1561,65.35,50.57,68.68,58.38,34.1,0.877,0.615,0.156,0.848,39.36
Argentina,Italy,2.96,95.47,6.13,19.02,0,22.92,0.6784,30.53,64.26,64.48,35.59,34.32,0.302,0.941,0.178,0.123,25.37
Thailand,China,1.02,78.74,3.56,14.71,0,11.15,0.1137,38.63,60.97,35.6,47.61,49.96,0.417,0.796,0.441,0.995,28.89
Spain,Singapore,0.33,191.56,8.91,22.21,0,9.14,0.0302,55.6,47.26,51.87,47.89,88.35,0.27,0.192,0.14,0.341,30.53
Germany,Spain,215543.91,210.51,10.58,16.56,1,5.04,10863.4131,40.51,37.57,26.04,43.3,53.92,0.686,0.65,0.29,0.284,65.36
Portugal,Indonesia,7137.92,122.05,7.01,5.69,0,9.21,657.4024,23.44,32.47,49.44,60.64,37.26,0.702,0.436,0.624,0.544,63.45
Brazil,Australia,5.38,118.75,10.67,9.81,0,12.8,0.6886,41.08,68.79,9.86,46.37,58.1,0.517,0.883,0.171,0.965,30.16
India,Singapore,1.08,219.33,8.87,7.55,0,16.92,0.1827,43.14,45.47,28.4,53.32,74.52,0.8,0.814,0.732,0.652,34.35
Poland,Ethiopia,3009.83,273.43,5.23,11.85,1,24.89,749.1467,72.87,54.01,36.74,61.54,70.98,0.219,0.036,0.804,0.598,57.01
Japan,Netherlands,38721.45,242.28,1.82,8.3,1,22.38,8665.8605,77.09,53.38,68.49,49.55,30.74,0.581,0.319,0.795,0.511,59.73
South Africa,China,27508.32,140.53,7.88,15.48,1,13.13,3611.8424,42.9,58.71,41.68,33.11,64.87,0.081,0.426,0.249,0.707,51.1
Kenya,India,294.66,115.61,8.73,16.55,1,15.35,45.2303,64.04,60.92,58.8,53.28,54.72,0.812,0.912,0.74,0.278,45.6
Spain,Canada,2.36,254.6,2.43,1.04,1,9.58,0.2261,45.08,62.42,27.41,48.56,53.19,0.23,0.861,0.01,0.854,30.45
Ethiopia,Turkey,299.5,276.87,1.88,7.12,0,22.55,67.5373,72.89,71.31,41.87,56.74,54.47,0.14,0.08,0.725,0.75,44.95
Argentina,Italy,138446.37,286.49,1.62,27.09,1,17.94,24837.2788,60.36,50.0,37.42,59.02,61.33,0.535,0.403,0.781,0.581,67.88
United States,Turkey,49919.82,162.1,6.21,0.56,1,24.48,12220.3719,79.31,39.37,18.94,65.05,39.6,0.973,0.063,0.192,0.759,69.47
Kenya,India,2.93,42.87,0.44,5.63,1,7.64,0.2239,44.82,52.35,32.71,47.86,80.61,0.111,0.122,0.133,0.721,32.64
Singapore,Egypt,1505.12,110.42,9.11,29.87,1,6.67,100.3915,66.09,75.66,76.16,36.61,50.88,0.491,0.476,0.465,0.076,40.7
France,Poland,626224.09,70.85,5.59,19.08,0,17.67,110653.7967,28.5,60.86,40.02,60.69,34.3,0.724,0.281,0.579,0.403,70.75
Turkey,Canada,27.22,147.92,3.96,9.94,0,7.65,2.0823,65.81,35.16,19.76,39.14,36.83,0.081,0.564,0.42,0.456,38.29
Colombia,Germany,23664.53,63.18,6.8,8.37,0,13.66,3232.5748,51.02,38.61,74.95,67.32,74.39,0.678,0.456,0.588,0.877,68.37
Singapore,Canada,21677.14,14.23,0.66,23.39,0,5.54,1200.9136,64.79,35.04,47.54,56.18,56.96,0.893,0.279,0.428,0.483,64.37
Saudi Arabia,Japan,524207.29,42.19,3.65,24.71,1,11.13,58344.2714,44.01,38.46,22.55,39.48,52.73,0.285,0.294,0.376,0.423,66.23
Kenya,Russia,1603.37,244.21,0.91,6.41,0,29.01,465.1376,42.36,58.42,40.61,40.45,22.81,0.022,0.855,0.512,0.768,45.86
France,Russia,285948.45,208.36,9.82,2.91,0,14.18,40547.4902,38.63,48.98,56.61,54.36,32.47,0.469,0.028,0.138,0.091,68.32
Australia,Germany,56407.03,81.06,7.72,3.41,0,5.69,3209.56,35.53,47.0,32.61,63.31,34.72,0.647,0.424,0.366,0.2,67.6
Mexico,Australia,0.73,125.76,11.57,9.38,1,7.39,0.0539,44.58,67.73,37.63,48.21,36.68,0.72,0.625,0.852,0.311,27.32
Singapore,South Africa,27.0,114.28,2.91,10.43,0,28.73,7.7571,77.24,53.9,36.38,61.18,65.34,0.088,0.686,0.788,0.822,43.34
Saudi Arabia,Kenya,279.5,147.31,3.57,27.29,1,17.12,47.8504,48.03,53.37,35.07,69.8,57.52,0.742,0.457,0.785,0.816,53.57
Netherlands,Thailand,0.14,34.7,1.63,26.58,1,8.84,0.0124,55.74,40.07,83.33,31.98,33.9,0.141,0.632,0.136,0.668,25.16
Kenya,Netherlands,2.56,207.26,9.33,6.53,1,24.86,0.6364,85.15,59.58,29.51,39.09,41.63,0.357,0.686,0.265,0.414,27.4
Switzerland,Malaysia,9523.16,109.44,5.59,15.21,0,23.13,2202.7069,72.78,60.92,61.12,50.14,51.66,0.28,0.024,0.129,0.387,54.4
Saudi Arabia,United States,23180.29,86.65,0.68,21.85,1,11.75,2723.6841,35.94,14.5,52.9,55.43,75.49,0.162,0.477,0.793,0.932,68.37
Argentina,Vietnam,270.76,239.4,2.35,18.75,1,6.78,18.3575,87.0,57.94,61.63,24.33,50.72,0.08,0.959,0.757,0.068,34.37
Russia,Belgium,49.84,263.78,8.06,11.48,1,15.5,7.7252,38.99,46.8,44.14,45.41,60.49,0.568,0.361,0.83,0.228,40.18
South Africa,Saudi Arabia,388499.47,223.91,6.3,1.55,0,16.35,63519.6633,67.73,38.5,41.04,53.39,42.42,0.561,0.628,0.845,0.975,70.92
Italy,Vietnam,25525.85,43.76,2.67,24.39,1,4.13,1054.2176,45.4,39.64,31.29,44.27,67.3,0.939,0.465,0.221,0.024,59.16
Mexico,Ethiopia,3526.81,157.12,9.42,9.74,1,2.69,94.8712,51.86,44.25,34.47,49.15,88.74,0.445,0.502,0.69,0.039,54.46
Ireland,Saudi Arabia,22805.04,100.57,0.74,28.63,1,4.72,1076.3979,56.06,55.87,68.99,53.33,73.65,0.752,0.378,0.672,0.695,59.21
Indonesia,Poland,15.95,84.87,1.09,22.54,0,25.28,4.0322,71.69,38.07,53.79,52.76,53.05,0.473,0.072,0.741,0.356,41.68
Japan,Russia,750302.39,296.04,5.37,0.44,1,5.98,44868.0829,45.21,63.17,53.72,62.77,18.35,0.757,0.834,0.725,0.47,71.64
Ethiopia,Australia,0.97,119.87,5.91,5.54,0,11.23,0.1089,47.95,48.17,50.67,65.48,33.87,0.381,0.007,0.917,0.811,38.52
United Kingdom,Nigeria,0.16,271.05,3.37,24.63,0,15.14,0.0242,48.84,66.1,79.03,48.89,44.59,0.816,0.028,0.939,0.099,26.77
Argentina,United Kingdom,891375.43,236.26,8.85,2.38,1,13.78,122831.5343,43.27,63.31,61.61,59.04,64.02,0.907,0.892,0.255,0.375,70.62
Belgium,Japan,10.8,164.07,6.09,2.01,0,14.04,1.5163,22.19,59.85,45.92,53.23,52.98,0.136,0.714,0.817,0.159,36.47
India,Colombia,7775.64,41.26,10.36,4.16,0,11.83,919.8582,63.57,60.35,53.07,61.81,47.3,0.38,0.007,0.892,0.402,58.59
Argentina,Philippines,275.96,237.14,8.07,13.5,1,13.59,37.503,68.97,45.38,53.43,55.34,65.95,0.586,0.311,0.288,0.623,49.34
Ireland,Portugal,259.15,47.36,4.45,22.21,0,15.78,40.8939,68.0,61.92,46.66,47.11,39.96,0.276,0.062,0.202,0.037,42.56
Russia,Turkey,0.25,31.24,8.42,29.99,0,5.5,0.0138,64.05,51.0,38.44,47.84,43.13,0.697,0.355,0.609,0.936,29.58
Belgium,Nigeria,16.66,281.55,11.5,26.39,0,16.41,2.7339,67.31,83.51,51.51,53.47,57.85,0.712,0.575,0.464,0.534,33.0
Thailand,United Kingdom,7038.89,182.0,9.05,29.8,1,24.8,1745.6447,61.34,55.57,37.0,67.4,33.04,0.362,0.117,0.838,0.886,61.5
India,Singapore,3844.61,279.51,10.22,24.4,0,29.92,1150.3073,61.28,36.24,57.93,40.38,64.56,0.365,0.075,0.172,0.305,52.8
Brazil,Japan,0.18,120.25,5.22,6.51,0,29.64,0.0534,44.88,49.0,34.76,42.54,67.11,0.314,0.944,0.894,0.061,27.7
South Africa,Malaysia,0.22,87.61,0.37,28.64,0,11.17,0.0246,34.67,54.6,36.94,34.74,60.26,0.024,0.62,0.329,0.689,23.55
Ethiopia,Kenya,2553.87,70.08,5.35,10.29,1,12.75,325.6184,44.35,36.84,47.04,52.93,19.66,0.891,0.247,0.266,0.463,56.52
Germany,Malaysia,0.26,194.29,2.65,7.64,0,19.23,0.05,62.92,70.82,48.96,49.54,46.29,0.885,0.565,0.45,0.112,26.32
Argentina,Malaysia,1571.02,172.37,9.49,9.45,0,25.05,393.5405,47.35,63.99,60.45,29.22,84.08,0.046,0.717,0.267,0.251,40.2
Vietnam,France,5.89,51.11,9.17,27.7,0,16.58,0.9766,70.83,39.99,75.69,52.67,41.08,0.922,0.32,0.751,0.218,38.66
United Arab Emirates,Mexico,3.03,292.76,4.24,21.93,1,11.41,0.3457,45.37,53.59,37.65,54.31,67.8,0.421,0.217,0.972,0.67,35.04
Germany,Spain,11.93,126.19,2.57,3.63,1,9.63,1.1489,71.36,64.18,51.82,67.88,55.1,0.913,0.408,0.769,0.928,41.73
Italy,Japan,1.89,253.69,8.89,15.48,0,19.1,0.361,51.92,54.3,43.02,44.35,36.9,0.485,0.413,0.057,0.619,29.95
Egypt,Ethiopia,1.22,179.15,1.88,0.48,0,23.93,0.2919,54.42,47.88,68.76,56.55,32.01,0.898,0.557,0.81,0.198,35.35
Poland,Nigeria,4117.33,198.6,9.07,12.09,0,29.42,1211.3185,46.47,57.0,49.22,53.59,18.87,0.634,0.21,0.729,0.529,54.13
Mexico,China,990.94,238.86,4.65,16.97,0,27.83,275.7786,52.16,57.62,61.2,53.9,68.78,0.474,0.055,0.241,0.638,50.01
Vietnam,Philippines,0.55,109.26,11.26,8.95,1,5.92,0.0326,41.81,62.69,74.33,51.62,46.28,0.272,0.251,0.935,0.759,29.38
France,Belgium,500650.58,188.37,4.02,24.0,0,11.83,59226.9636,71.59,58.32,38.67,59.66,63.72,0.586,0.805,0.602,0.785,70.2
India,France,26994.13,263.61,2.09,23.99,0,7.4,1997.5656,38.52,48.78,52.97,32.55,36.9,0.686,0.679,0.485,0.184,52.81
Mexico,Kenya,2.05,250.95,2.36,10.43,0,28.71,0.5886,50.71,55.45,62.19,71.57,50.1,0.752,0.079,0.821,0.174,40.77
Turkey,Russia,867589.57,236.33,6.22,23.34,0,6.82,59169.6087,46.39,60.1,23.88,56.13,59.21,0.967,0.906,0.733,0.52,70.02
South Africa,Netherlands,2452.99,172.53,1.55,25.12,0,21.65,531.0723,39.63,49.98,55.53,33.4,24.88,0.384,0.361,0.099,0.467,45.96
